Event;Result;UTCDate;UTCTime;WhiteElo;BlackElo;ECO;Opening;TimeControl;Termination;Moves
Rated Blitz game;1-0;2013.01.01;13:56:47;1815;1785;B02;Alekhine Defense: Two Pawn Attack;420+0;Resignation;e4 Nf6 e5 Nd5 c4 Nb6 Nc3 d6 exd6 Qxd6 d4 Qe6+ Be3 Nxc4 Bxc4 Qxc4 Nge2 Nc6 Rc1 e6 d5 Ne5 O-O Qa6 Nf4 Bd6 dxe6 Bxe6 Nxe6 fxe6 Qb3 Nc4 Nb5 O-O Qxc4 Kh8 Nxd6 Qxd6 Bc5
Rated Classical game;1-0;2013.01.01;13:57:18;1837;1688;C00;French Defense: Knight Variation;300+11;Resignation;e4 e6 Nf3 b6 Nc3 Bb7 Bc4 h6 d3 Bc5 Qe2 Bb4 Bd2 Qf6 O-O Nc6 Nb5 O-O-O c3 Bc5 b4 Bd6 d4 e5 d5 Nce7 Nxa7+ Kb8 Nb5 c6 Nxd6 Qxd6 Ba6 b5 Bxb7 Kxb7 a4 Ra8 axb5 c5 bxc5 Qxc5 Be3 Qc7 Rxa8 Kxa8 Ra1+ Kb7 Ra7+ Kb8 Rxc7 Kxc7 b6+ Kb7 Qc4 Nc6 dxc6+ dxc6 Nxe5 Ne7 Qxf7 Ra8 Qxe7+
Rated Classical game;0-1;2013.01.01;13:57:19;1571;1417;B02;Alekhine Defense: Mokele Mbembe;600+10;Resignation;e4 Nf6 e5 Ne4 d4 d5 c3 e6 Qa4+ c6 Qd1 c5 f3 Qh4+ g3 Nxg3 Bb5+ Bd7 Bxd7+ Nxd7 hxg3 Qxh1 Kf1 h5 Qe2 h4 g4 h3 Bf4 f6 Qh2 Qxh2 Bxh2 fxe5 dxe5 Nxe5 Bxe5 h2 Bxh2 Rxh2 b3 c4 b4 a5 a3 axb4 cxb4 Bxb4 a4 b5 Ne2 bxa4 Kg1 Rxe2
Rated Blitz game;0-1;2013.01.01;13:58:05;1320;1485;B06;Modern Defense;300+0;Checkmate;e4 g6 Bd3 Bg7 f3 e6 Ne2 Ne7 O-O O-O Nd4 d6 c3 c5 Qe2 cxd4 cxd4 Bxd4+ Kh1 Nbc6 Nc3 Bxc3 bxc3 d5 Bb2 dxe4 Bxe4 Nd5 Bxd5 Qxd5 Rac1 Ne5 c4 Qc5 Bxe5 f6 Bb2 e5 f4 Be6 fxe5 fxe5 Rxf8+ Rxf8 Bxe5 Rf5 Bd4 Qd6 g4 Rf4 c5 Qxd4 Qxe6+ Kg7 h3 Qxd2 c6 Qxc1+ Kg2 Qf1+ Kg3 Qf3+ Kh4 Qf2+ Kg5 h6#
Rated Classical game;0-1;2013.01.01;13:58:42;1519;1658;B00;Nimzowitsch Defense: Kennedy Variation, de Smet Gambit;480+8;Resignation;e4 e5 d4 d6 dxe5 Nc6 exd6 Bxd6 Bb5 Bd7 Bxc6 Bxc6 Qe2 Qf6 c3 O-O-O Nf3 Re8 Bg5 Qg6 Nbd2 Bxe4 O-O f6 Bh4 Bd3 Qe6+ Rxe6
Rated Blitz game;0-1;2013.01.01;13:59:17;1557;1338;B07;Pirc Defense #4;300+2;Checkmate;e4 d6 Bc4 Nf6 d3 g6 Bg5 Bg7 h4 O-O Bxf6 exf6 h5 f5 hxg6 fxe4 Nc3 exd3 Qxd3 Qe7+ Nge2 Bf5 Qf3 Bxg6 Qxb7 Nd7 Qf3 Rab8 Rb1 Bxc3+ Qxc3 Rfe8 Rd1 Nb6 Rd2 Nxc4 Qxc4 Rxb2 f3 Rb1+ Rd1 Rxd1+ Kxd1 d5 Qb5 c6 Qa6 c5 Nc3 d4 Nd5 Qe5 Qc6 Qe2+ Kc1 Qxc2#
Rated Classical game;1-0;2013.01.01;13:59:21;1229;1254;C41;Philidor Defense #2;600+5;Checkmate;e4 e5 Nf3 d6 g3 c6 Bg2 Qa5 c3 b5 b4 Qb6 d4 Nf6 Ng5 h6 Nh3 h5 Be3 Be7 d5 Ng4 Bxb6 axb6 O-O h4 Bf3 Nf6 g4 c5 bxc5 bxc5 Qb3 Bd7 Qd1 c4 a3 g6 Be2 Nxe4 f3 Nc5 Kg2 f5 g5 f4 Nd2 Na4 Ne4 Bc8 Nf6+ Kf7 Rb1 Nxc3 Qc1 Nxe2 Qe1 Nd4 Qb4 Ba6 Qa5 Bd8 Qb4 Nb3 Qe1 Rg8 Nxg8 Kxg8 Rf2 Nd4 Qb4 Be7 Qa5 Bd8 Qxd8+ Kf7 a4 Nb3 axb5 Bxb5 Qc7+ Nd7 Qb7 Rb8 Qa7 Rd8 Qc7 Ke7 Ra2 c3 Rxb3 Ke8 Rxb5 Ke7 Rba5 Re8 Ra7 e4 Qxd7+ Kf8 Rc7 exf3+ Kxf3 Re7 Qxe7+ Kg8 Qf7+ Kh8 Qg7#
Rated Classical game;1-0;2013.01.01;13:59:56;1647;1358;D20;Queen's Gambit Accepted: Old Variation;300+8;Checkmate;d4 d5 c4 dxc4 e3 b5 a4 c6 axb5 cxb5 Qf3 Bb7 Qxb7 Nd7 Qxb5 f6 Nf3 g5 Be2 a6 Rxa6 Rxa6 Qxa6 e5 d5 e4 Nd4 Bb4+ Bd2 Nc5 Qc6+ Qd7 Bxb4 Nb7 Bxc4 Ne7 Bxe7 Na5 Qxd7+ Kxd7 Bxf6 Nxc4 Bxh8 Nxb2 O-O Kd6 Nb5+ Kxd5 Bxb2 Kc6 Nd4+ Kd5 Rd1 Kc4 Nc3 Kb4 Nxe4 Kc4 Rc1+ Kd3 Rc3+ Kxe4 f3+ Kd5 Nf5 h5 e4+ Ke5 Rc5+ Kf4 Ng7 h4 Nh5+ Ke3 Rd5 Ke2 Bc1 Ke1 e5 g4 f4 g3 hxg3 hxg3 Bd2+ Ke2 e6 Kd1 e7 Kc2 e8=Q Kd1 Qe1+ Kc2 Rc5+ Kd3 Qe3#
Rated Classical game;0-1;2013.01.01;13:51:39;1812;1925;C97;Ruy Lopez: Closed Variations, Chigorin Defense;480+2;Resignation;e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5 Bb3 Be7 Re1 d6 c3 O-O h3 Na5 Bc2 c5 d4 Qc7 dxe5 dxe5 Nbd2 Rd8 Qe2 c4 Nf1 Bb7 Ng3 Bc8 Be3 Nc6 Rad1 Be6 Ng5 Bd7 f3 h6 Nxf7 Kxf7 Qf2 Kg8 Bb6 Qc8 Bxd8 Nxd8 Kh1 Bc5 Qd2 Ne6 Nh5 Nxh5 Qxd7 Qxd7 Rxd7 Nef4 Red1 Rf8 Rc7 Bf2 b3 Bg3 bxc4 bxc4 Rxc4 Ne2 Rc6 Bf4 g4 Nhg3+ Kg2 h5 gxh5 Nxh5 Rxa6 Be3 Bb3+ Kh8 Rg6 Nhf4+ Kf1 Nxg6 Kxe2 Bf4 Rd6 Nh4 c4 Bg3 Rd3 Bf4 c5 Bg3 c6 Ng2 Rd7 Rc8 c7 Kh7 Be6 Nf4+ Kd1 Nxe6 Kc2 Nd4+ Kb2 Nb5 a4 Nxc7 a5 Rb8+ Kc3 Nb5+ Kc4 Nd4 a6 Ra8 a7 Nc6 Kc5 Nxa7 Kb6 Nc8+ Kb7 Ra7+ Kxc8 Rxd7 Kxd7 Kg6 Ke6 Bf4 Ke7 Kh5 Ke6 g5 Kf5 Kh4 Kg6 Kxh3 Kf5 Kg3
Rated Classical game;0-1;2013.01.01;13:54:43;1633;1705;B12;Caro-Kann Defense: Advance Variation;600+8;Checkmate;e4 c6 d4 d5 e5 Bf5 h3 e6 Nf3 a6 Bg5 Qa5+ c3 h6 Bh4 c5 b4 cxb4 a3 bxc3 Qb3 c2+ Nbd2 Nc6 Bd3 Bxd3 Qxd3 Nb4 Qc3 Qa4 O-O Nc6 Rfc1 Nge7 Rxc2 Nf5 Nb3 Nxh4 Nxh4 Nxe5 Nc5 Bxc5 Qxc5 Nc4 Rc3 Qc6 Qxc6+ bxc6 Kf1 Rb8 Nf3 O-O Ne5 Nxe5 dxe5 Rfc8 Rac1 Rb6 a4 a5 Rc5 Rb4 Rxa5 Rc4 Rc5 Rxc1+ Rxc1 c5 Ke2 c4 Kd2 Ra8 Ra1 Kf8 Kc3 Ke7 Kb4 Kd7 Kc5 Rc8+ Kb5 c3 Rc1 c2 Kb4 Rc4+ Kb3 Kc6 Rxc2 Rxc2 Kxc2 Kc5 Kc3 f6 f4 fxe5 fxe5 d4+ Kb3 d3 a5 Kb5 Kc3 d2 Kxd2 Kxa5 Kd3 Kb5 Ke4 Kc5 g4 g5 h4 gxh4 Kf4 h3 Kg3 h2 Kxh2 Kd5 Kh3 Kxe5 Kh4 Kf4 Kh5 e5 Kxh6 Kxg4 Kg6 e4 Kf6 e3 Ke5 e2 Kd4 e1=Q Kd3 Kf4 Kc4 Ke5 Kc5 Qc3+ Kb6 Kd5 Kb7 Kd6 Kb8 Kd7 Kb7 Qb4+ Ka6 Kc7 Ka7 Qa5#
Rated Blitz game;1-0;2013.01.01;14:02:28;1544;1442;C62;Ruy Lopez: Steinitz Defense;120+3;Resignation;e4 e5 Nf3 Nc6 Bb5 d6 Bxc6+ bxc6 d4 f5 dxe5 dxe5 Qxd8+ Kxd8 Nxe5 Be6 exf5 Bd5 c4 Bxg2 Rg1 Be4 Nf7+ Ke7 Nxh8 Bxf5 Nc3 Nf6 Bg5 g6 Bxf6+ Kxf6 O-O-O Bg7 Nxg6 hxg6 f3 Bh6+ Rd2 Bxd2+ Kxd2 Rd8+ Ke3 Rd3+ Ke2 Ke5 Rg5 Kf4 Rxf5+ gxf5 Kxd3 Kxf3 Ne2 Kg2 h4 Kf3 h5
Rated Blitz game;0-1;2013.01.01;14:02:48;1780;1497;A41;Old Indian Defense;240+0;Checkmate;d4 d6 c4 e6 e4 c6 Nf3 h6 Nc3 g5 h3 h5 Be2 f6 e5 dxe5 dxe5 Qxd1+ Bxd1 Be7 exf6 Bxf6 Ne4 g4 hxg4 hxg4 Rxh8 Bxh8 Nfd2 e5 g3 Nf6 Nd6+ Kd7 Nf7 Bg7 Nxe5+ Kd6 Nf7+ Ke7 Ng5 a5 a3 Nbd7 Ra2 Nc5 Ke2 Bf5 b4 Nd3 Bb2 Re8 Bxf6+ Kxf6+ Kf1 Kxg5 Be2 Nc1 Rc2 Bxc2 f4+ Kf6 c5 Nxe2 Nc4 Nxg3+ Kg2 Ne4 Ne5 Kf5 b5 Bxe5 fxe5 cxb5 c6 bxc6 e6 Rxe6 a4 Nc3 Kf2 Re2+ Kf1 g3 axb5 Rf2+ Kg1 Ne2+ Kh1 Rh2#
Rated Blitz game;0-1;2013.01.01;14:02:56;1775;1825;B20;Sicilian Defense: Lasker-Dunne Attack;420+0;Resignation;e4 c5 g3 b6 Bg2 Bb7 Ne2 e6 d4 Nf6 Nbc3 a6 Bg5 Be7 O-O d5 dxc5 bxc5 exd5 exd5 Bxf6 Bxf6 Nxd5 Bxd5 Bxd5 Ra7 Bc6+ Nxc6 Qxd8+ Nxd8 Nf4 O-O Nd5 Bxb2 Rab1 Bd4 c3 Be5 f4 Bd6 Rb6 Bc7 Ne7+ Kh8 Rb2 Bxf4 Rxf4 Rxe7 Rb6 Re6 Rb8 Rfe8 Rc4 Re1+ Kg2 Re1e2+ Kh3 Rxa2 Rxc5 Rd2 Ra5 Rd6 c4 Kg8 c5 Rc6 Ra2 Kf8 Rd2 Ne6 Rb7 Nxc5 Ra7 g6 Rf2 Re7 Ra8+ Kg7 Rc2 Rcc7 Kh4 h6 Kh3 Re6 Rc3 Rec6 Ra3 g5 Kg2 Rd7 h4 gxh4 gxh4 Rd4 Rg3+ Kf6 h5 Rh4 Re8 Rxh5 Rf3+ Kg7 Rg3+ Rg5 Rxg5+ hxg5 Ra8 Nb7 Ra7 Rb6 Kg3 Kg6 Kg4 f5+ Kg3 Nd6 Ra8 Nf7 Rg8+ Kf6 Ra8 Rb3+ Kg2 Ra3 Ra7 Ne5 Rb7 f4 Rb6+ Kf5 Rb8 Ra2+ Kh1 g4 Re8 g3 Rd8 f3 Rd1 Ke4 Kg1 a5 Kf1 a4 Rb1 a3 Rb4+ Ke3 Rb3+ Nd3 Rb1 Rh2 Kg1 a2 Ra1 Nf4 Re1+ Kd2 Re2+ Rxe2
Rated Classical game;1-0;2013.01.01;14:04:00;1669;1728;A10;English Opening: Great Snake Variation;300+5;Time forfeit;c4 g6 d4 Bg7 Nc3 e5 dxe5 Bxe5 Nf3 Bg7 e3 Ne7 Bd2 O-O Be2 c6 O-O d6 Rc1 Na6 b3 Nc5 h3 h6 b4 Ne6 a3 Nc7 a4 Kh7 b5 c5 Ne4 f5 Ng3 b6 Bc3 Rf7 Bxg7 Rxg7 Re1 Ng8 Qd2 Nf6 Red1 Nce8 Bd3 Bb7 Be2 Qc8 Qc3 Rf7 Rd2 a5 Rcd1 Qe6 Ne1 Ne4 Nxe4 Qxe4 Bf3 Qe7 Bxb7 Qxb7 Qd3 Rc8 Qd5 Qe7 Nf3 Rd8 Qc6 Rb8 g3 Qe4 Qxe4 fxe4 Ne1 Rbb7 Ng2 g5 h4 gxh4 Nxh4 Rbe7 Ng2 Re6 Nf4 Ref6 Nd5 Rg6 Nxb6 h5 Kf1 h4 gxh4 Rg4 Ke2 Rxh4 Rf1 Rh6 Nd5 Nc7 Nxc7 Rxc7 Rd5 Kg7 Rf5 Kg6 Rf4 d5 cxd5 c4 Rxe4 c3 Rc1 Kf5 Rd4 Ke5 Kd3 Rd7 f4+ Kd6 Rxc3 Rh3 Rc6+ Ke7 Ra6 Kf7 Rxa5 Re7 Re4 Rc7 d6 Rc1 Ra7+ Kf6 d7 Rd1+ Kc4 Rh2 Rd4 Rc2+ Kd5 Rcd2 d8=Q+
Rated Blitz game;0-1;2013.01.01;14:05:08;1816;1652;C01;French Defense: Exchange Variation;300+0;Checkmate;d4 e6 e4 d5 exd5 Qxd5 Nc3 Bb4 Bd2 Bxc3 Bxc3 Nc6 Nf3 Nf6 Bd3 Ne4 O-O Nxc3 bxc3 Qd8 Qd2 O-O Ne5 Nxe5 dxe5 g6 Rad1 Qe7 h3 Bd7 c4 Rad8 Qa5 b6 Qxa7 Bc6 c5 Ra8 cxb6 Rxa7 bxa7 Ra8 Rb1 Rxa7 Rb8+ Kg7 Rfb1 Rxa2 Rc8 Qg5 Rxc7 Qxg2#
Rated Blitz game;1/2-1/2;2013.01.01;14:05:18;1545;1307;B30;Sicilian Defense: Nyezhmetdinov-Rossolimo Attack;300+0;Draw;e4 c5 Nf3 Nc6 Bb5 f6 Bxc6 bxc6 O-O Qc7 d4 cxd4 Nxd4 Nh6 Bxh6 gxh6 c4 c5 Nb5 Qe5 a4 Qxb2 Nc7+ Kf7 Qd5+ e6 Qh5+ Ke7 Nd2 Qxd2 Rad1 Qa5 Nb5 Ba6 Qxc5+ Ke8 Nc7+ Kd8 Nxe6+ Ke8 Nc7+ Kf7 Qxa5 Bxc4 Qh5+ Ke7 Nd5+ Bxd5 Rxd5 Rc8 Rfd1 d6 Rxd6 Rg8 Rd7+ Ke6 Rd1d6+ Bxd6 Rxd6+ Kxd6 Qd5+ Ke7 g3 Rc1+ Kg2 Rg5 h4 Rxd5 exd5 Rd1 Kf3 Rxd5 g4 Ra5 Kg3 Rxa4 f3 Ke6 h5 f5 gxf5+ Kxf5 f4 Rxf4 Kg2 Kg4 Kh2 Kxh5 Kg2 a6 Kg3 a5 Kxf4 a4 Ke3 a3 Kd4 a2 Kd5 a1=Q Kd6 Kg5 Ke6 h5 Kd5 h4 Ke4 h3 Kf3 h2 Ke3 h1=Q Kd3 h6 Ke2 h5 Kf2 h4 Ke2 h3 Kd2 h2 Ke2 Qg2+ Kd3 h1=Q Kc4 Kg6 Kc5 Kh7 Kd6 Kh8 Ke6 Qga8 Kf7 Qad5+ Ke7 Qad4 Ke8 Qhe4+ Kf8 Qa8+ Kf7 Qda1
Rated Blitz game;0-1;2013.01.01;14:05:49;1496;1475;C00;French Defense #2;300+3;Time forfeit;e4 e6 a4 d5 Nc3 d4 Nb1 e5 c3 c5 Bc4 Nf6 Nh3 Nxe4 d3 Nd6 Ng5 Nxc4 dxc4 Be7 Ne4 O-O g4 Nc6 g5 dxc3 O-O cxb2 Bxb2 Bxg5 Nxc5 Nd4 Ba3 Bf4 Ne4 Qh4 Ng3 Re8 Qh5 Qxh5 Nxh5 Nc2 Ra2 Nxa3 Rxa3 Bg4 Nxf4 exf4 f3 Bh3 Rd1 Rad8 Rxd8 Rxd8 Nc3 Rd3 Kf2 g5 Ke2 Re3+ Kf2 Be6 c5 h5 a5 a6 Kf1 Rxf3+ Ke2 Bg4 Kd2 Rf2+ Kd3 Bf5+ Kd4 Rxh2 Rb3 Rd2+ Ke5 Bc8 Nd5 Re2+ Kf6 Re6+ Kf5 Rb6+ Kxg5 Rxb3 Nxf4 Rg3+
Rated Classical game;0-1;2013.01.01;14:05:57;1432;1555;D02;Queen's Pawn Game: Anti-Torre;600+10;Checkmate;Nf3 d5 d4 Bg4 Nc3 Bxf3 gxf3 e6 Bg2 Bb4 Qd3 a5 Qb5+ Nd7 a3 Bd6 Qxb7 Rb8 Qa6 Ra8 Qc6 Nf6 Nb5 O-O Nxd6 cxd6 Qxd6 h6 e4 dxe4 fxe4 Qc8 e5 Nd5 c3 Ra6 Qxa6 Qxa6 b4 axb4 cxb4 Nc3 Bb2 Qe2#
Rated Classical game;1-0;2013.01.01;14:06:23;1602;1643;D00;Blackmar-Diemer Gambit: Rasa-Studier Gambit;420+3;Time forfeit;e4 d5 d4 dxe4 Nc3 Nf6 Be3 c6 f3 Bf5 Qd2 h6 O-O-O Nbd7 fxe4 Nxe4 Nxe4 Bxe4 Nf3 g5 Bd3 Bxd3 Qxd3 Qa5 Kb1 O-O-O d5 Nf6 c4 cxd5 Qf5+ Kb8 Ne5 Rh7 c5 Qc7 Bd4 Qc8 Qf2 Ne4 Qe3 Qf5 Ka1
Rated Blitz game;0-1;2013.01.01;14:07:11;1379;1703;B01;Scandinavian Defense: Mieses-Kotroc Variation;180+1;Resignation;e4 d5 exd5 Qxd5 d4 c6 Nc3 Qa5 Bd2 Qc7 Nf3 Bf5 Be2 e6 O-O Bd6 Re1 Nf6 Ne5 O-O Bg5 Bxe5 dxe5 Qxe5 Bxf6 Qxf6 Bg4 Rd8 Qxd8+ Qxd8 Bxf5 exf5 Rad1 Nd7 Ne2 g6 Nf4 Kf8 Rd6 Qc7 Red1 Ne5 h4 Ke7 Nh3 Rd8 Rxd8 Qxd8 Re1 Kf6 f4 Ng4 Ng5 Kg7 Rf1 Qd2 Nh3 Qxc2 Ng5 Ne3 Rf2 Qc1+ Kh2 Qe1 Nh3 Ng4+ Kg3 Nxf2 Nxf2 f6
Rated Classical game;0-1;2013.01.01;14:09:25;1538;1665;D00;Queen's Pawn Game;300+10;Time forfeit;d4 d5 h3 c6 Bf4 Na6 e3 Nf6 Bd3 Nb4 c3 Na6 Nf3 Nc7 O-O e6 Qc2 g6 Nbd2 Bd6 Bh6 Qe7 Ne5 Bxe5 dxe5 Nh5 c4 Bd7 cxd5 Nxd5 Nc4 f5 Nd6+ Kd8 Nxb7+ Kc7 Nd6 Nb4 Qc5 Nd5 e4 fxe4 Bxe4 Rab8 Bxd5 exd5 Nb5+ Kd8 Qxe7+ Kxe7 Bg5+ Kf8 Nd6 Bf5 Rae1 Bd3 e6 Bxf1 Kxf1 h6 e7+ Kg7 Be3 Nf6 Bd4 a6 Bxf6+ Kxf6 e8=Q Rhxe8 Nxe8+ Kf7 Nd6+ Kf8 b3 c5 Re6 d4 Rxg6 d3 Ke1 c4 Nxc4 Rc8 Kd2 Kf7
Rated Blitz game;0-1;2013.01.01;14:09:42;1538;1394;B06;Robatsch (Modern) Defense;300+2;Resignation;e4 g6 d4 Bg7 e5 e6 Nf3 b6 Bg5 f6 exf6 Nxf6 h4 h6 Bxf6 Qxf6 h5 g5 Ne5 Bb7 Rg1 O-O Qe2 d6 Ng6 Rf7 Nd2 Ba6 c4 Nc6 b3 Nxd4 Qd3 Qxf2+ Kd1 Qxg1 Nf3 Nxf3 gxf3 Bxa1 Kc2 Qf2+ Kb1 Qe1+ Kc2 e5 Qd5 Qf2+ Kb1 Qxf1+ Kc2 Rc8 Ne7+ Kf8 Ng6+ Ke8 Qe6+ Kd8 Qxf7 Qe2+ Kc1 Bb2+ Kb1 Qd1+ Kxb2 Qd2+ Kb1 Qd3+ Kc1 Qc3+ Kd1 Qa1+ Ke2 Qxa2+ Ke3 Qxb3+ Ke4 Qc2+ Kd5 Bxc4+ Kc6 Bxf7+
Rated Blitz game;0-1;2013.01.01;14:10:13;1761;1816;A51;Indian Game: Budapest Defense;240+0;Checkmate;d4 Nf6 c4 e5 d5 Ng4 h3 Nxf2 Kxf2 Qh4+ g3 Qxc4 e3 Qc5 a3 a5 Nc3 Qa7 Nf3 d6 Bb5+ c6 dxc6 bxc6 Ba4 Bd7 Ne4 Be7 Nxd6+ Kf8 Ne4 f6 Qd2 Be6 Kg2 Kf7 Qf2 Rd8 Nxe5+ Kg8 Bxc6 fxe5 Bxa8 Qxa8 Bd2 Qxe4+ Qf3 Bd5 Rhf1 Qd3 e4 Bxe4 Kg1 Bxf3 Bc3 e4 Kh2 Qe2+ Rf2 Qxf2#
Rated Classical game;0-1;2013.01.01;14:10:15;1494;1661;C41;Philidor Defense #3;660+0;Time forfeit;e4 e5 Nf3 d6 Bc4 Be6 Bxe6 fxe6 d4 exd4 Nxd4 Qf6 Nc3 c6 Qg4 Kf7 Bg5 Qxd4 O-O Nf6 Rad1 Qe5
Rated Blitz game;0-1;2013.01.01;14:10:41;1674;1798;A13;English Opening: Agincourt Defense #2;300+0;Resignation;Nf3 e6 c4 d5 cxd5 exd5 d4 Nf6 Nc3 c6 e3 Bf5 Bd3 Ne4 Bxe4 Bxe4 Nxe4 dxe4 Nd2 Qe7 Qg4 Nd7 Qxe4 O-O-O Qxe7 Bxe7 Ne4 f5 Nc3 g5 O-O h5 d5 c5 Nb5 Ne5 Nxa7+ Kb8 Nb5 Rxd5 Nc3 Rd3 Rd1 Rhd8 Rxd3 Rxd3 g3 g4 Kg2 Nf3 a4 Bf6 Ne2 Rd1 a5 Re1 b4 Bxa1
Rated Classical game;0-1;2013.01.01;14:10:52;1696;1560;D04;Queen's Pawn Game: Colle System;360+6;Checkmate;d4 d5 Nf3 Nf6 e3 Bg4 c4 e6 Nc3 Bd6 b4 b6 c5 bxc5 bxc5 Be7 Rb1 O-O Rb7 Nc6 Nb5 Ne4 Rxc7 a6 Rxc6 axb5 Bxb5 Rxa2 O-O Qa5 Rb6 Bh4 Bd2 Rxd2 Qe1 Bxf3 gxf3 Bxf2+ Rxf2 Nxf2 Bf1 Qa2 e4 Nd3 Bxd3 Rxd3 exd5 Qxd5 Qe4 Rxd4 Qxd5 Rxd5 c6 Rd6 Kf2 h6 Ke3 Rc8 Ke4 Rcxc6 Rb7 Rd5 f4 Rf5 Rb4 Kh7 h4 Kg6 Kf3 e5 Rb1 Rxf4+ Ke3 Rc3+ Kd2 Rh3 Rg1+ Kf6 Rg2 Rhxh4 Ke3 Re4+ Kd3 Rhf4 Rg3 Rd4+ Kc3 h5 Rh3 Kg6 Rg3+ Kh6 Kc2 h4 Rg2 Kh5 Rxg7 Kh6 Rg8 Rf2+ Kc3 Rf3+ Kc2 Rfd3 Rh8+ Kg7 Rh5 Rd2+ Kc3 Rd2d3+ Kc2 Re3 Rf5 Kg6 Rf2 h3 Rh2 Kg5 Rh1 Re2+ Kc3 h2 Kb3 Kg4 Kc3 Kg3 Rf1 Kg2 Rxf7 h1=Q Rg7+ Kf3 Rf7+ Kg4 Rg7+ Kf5 Rg3 Qc1+ Kb3 Rb2+ Ka3 Qa1#
Rated Blitz game;0-1;2013.01.01;14:11:02;1663;1852;B20;Sicilian Defense;300+0;Time forfeit;e4 c5 d3 Nc6 h3 g6 Nf3 Bg7 Be2 Qb6 c3 d6 Nfd2 Bd7 Nc4 Qc7 Ne3 e6 O-O Nge7 Ng4 O-O Bh6 Bxh6 Nxh6+ Kg7 Ng4 f5 exf5 exf5 Ne3 d5 Bf3 d4 cxd4 Nxd4 Bd5 Nxd5 Nxd5 Qd6 Nbc3 Bc6 Ne3 Rae8 Qc1 b5 Re1 Qf4 Ne2 Nxe2+ Rxe2 Qg5
Rated Blitz game;0-1;2013.01.01;14:03:09;1897;1645;C41;Philidor Defense: Hanham Variation;300+0;Resignation;e4 e5 Nf3 d6 d4 Nd7 dxe5 dxe5 Bc4 h6 O-O Ngf6 Nc3 Be7 Qe2 Nh7 Be3 O-O Rad1 Bf6 Rd2 Qe7 Nd5 Qd8 Nxf6+ Qxf6 Rfd1 Nb6 Bb3 Be6 Bxb6 axb6 Bxe6 Qxe6 a3 Rac8 Rd5 Nf6 Rxe5 Qc6 Nd4 Qa4 Nf5 Rce8 Rxe8 Rxe8 f3 Nh5 Qd2 Nf6 c3 Kh7 Qf4 Qxd1+
Rated Classical game;0-1;2013.01.01;14:12:33;1543;1718;C24;Bishop's Opening: Berlin Defense;840+5;Time forfeit;e4 e5 Bc4 Nf6 d3 Bc5 Bg5 d6 Bxf6 Qxf6 f3 Be3 Qe2 Bf4 Nc3 Qh4+ Kd1 O-O Nd5 Qd8 Nxf4 exf4 g3 Qf6 gxf4 Qxb2 Rc1 Be6 Bd5 c6 Bxe6 fxe6 f5 Qxa2 Nh3 Nd7 fxe6 Qxe6 Ng5 Qf6 Qg2 Ne5 Rg1 Nxf3 Qh3 Nxg5 Rxg5 Qxg5 Qe6+ Rf7 Ke2 Qg2+ Kd1 Qf3+ Kd2 Qf2+ Kc3 Qc5+ Kd2 d5 Rf1 Rf8 e5 Qb4+ c3 Qb2+ Ke3 Qxc3 Rxf7 Rxf7 Qc8+ Rf8 Qxb7 Qxe5+
Rated Classical game;1-0;2013.01.01;14:12:54;1350;1064;B01;Scandinavian Defense;300+8;Time forfeit;e4 d5 e5 g6 d4 h5 f4 e6 c4 Qh4+ g3 Qg4 cxd5 Nh6 dxe6 Bxe6 Be2 Bb4+ Bd2 Qf5 Bxb4 Nc6 Bd3 Qg4 Be2 Qf5 Bc3 O-O d5 Rad8 Bc4 Qe4+ Kf2 Ng4+ Kf1 Ne3+ Ke2 Nxd1+ Kxd1 Qxh1 Kc2 Qxg1 dxe6 Qf2+ Nd2 f5 e7+ Rf7 exd8=Q+ Nxd8 e6 Re7 Rf1 Qg2 Re1 Qc6 Bf6 Qa4+ Bb3 Qc6+ Bc4 Qa4+ Bb3 Qc6+ Kb1
