Event;Result;UTCDate;UTCTime;WhiteElo;BlackElo;ECO;Opening;TimeControl;Termination;Moves
Rated Classical game;0-1;2012.12.31;23:07:33;1644;1544;B06;Modern Defense;600+8;Checkmate;e4 g6 d4 d6 Nf3 c6 h3 Nf6 Bg5 Nxe4 Qe2 Bf5 Nbd2 Qa5 c3 Nxd2 Bxd2 Nd7 b4 Qa3 Ng5 h5 Qc4 d5 Qe2 Qb2 Qd1 Bc2 Qc1 Qxc1+ Rxc1 Ba4 Bd3 Nb6 O-O Nc4 Bxc4 dxc4 Bf4 Bh6 Rfe1 O-O Rxe7 Rae8 Rxb7 f6 Ne6 Rxe6 Bxh6 Rf7 Rb8+ Kh7 Bf4 g5 Bd2 Re2 Be1 Rfe7 Kf1 Bc2 Rc8 Bd3 Rxc6 Rc2+ Kg1 Rxc1 Rxf6 h4 g4 Rexe1+ Kg2 Be4+ f3 Rc2#
Rated Classical game;0-1;2012.12.31;23:09:29;1957;1755;C13;French Defense: Classical Variation, Richter Attack;300+8;Resignation;e4 e6 d4 d5 Nc3 Nf6 Bg5 Be7 Bxf6 Bxf6 e5 Be7 Qg4 O-O Bd3 f5 Qg3 c5 Nf3 Qb6 Na4 Qb4+ Nc3 Qxb2 Kd2 cxd4 Nxd4 Bb4 Bb5 a6 Rhb1 Qxc3+ Qxc3 Bxc3+ Kxc3 axb5 Rxb5 Nc6 Nxc6 bxc6 Rc5 Bd7 a4 Ra6 a5 Rfa8 Kd4 g5 Ra4 h5 h3 f4 f3 Kf7 Kd3 Ke7 Ke2 Be8 Kf2 Kd7 g3 fxg3+ Kxg3 Bg6 Ra2 Bf5 h4 g4 fxg4 Bxg4 Kf4 Rf8+ Kg5 Rf5+ Kh6 Rxe5 Ra4 Kd6 Rc3 c5 Rg3 c4 Kg7 Kc5 Kf6 Re2 Ke7 Rxc2 Rxg4 hxg4 h5 Rh2 Ra3
Rated Classical game;1-0;2012.12.31;23:10:03;1656;1812;C50;Giuoco Piano;420+17;Resignation;e4 e5 Nf3 Nc6 Bc4 Bc5 a3 Qf6 b4 Bb6 d3 h6 Nc3 Nge7 O-O O-O Re1 a6 Be3 Nd4 Bxd4 exd4 e5 Qg6 Ne4 d5 exd6 cxd6 Bb3 Be6 Bxe6 fxe6 Nxd6 Rab8 Nc4 Ba7 Nfe5 Qe8 Nd6 Qd8 Ndc4 Qd5 Qg4 Rf5 Ng6 Nxg6 Qxg6 Re8 Qxe8+
Rated Blitz game;1-0;2012.12.31;23:08:21;1436;1506;C60;Ruy Lopez: Cozio Defense;420+0;Checkmate;e4 e5 Nf3 Nc6 Bb5 Nge7 Nc3 h6 Nd5 a6 Ba4 b5 Bb3 Ng6 c4 b4 Ba4 Nd4 O-O c6 Ne3 a5 Nxd4 exd4 Nf5 Ba6 Nxd4 Bxc4 Nxc6 Bxf1 Nxd8 Bxg2 Nxf7 Bxe4 Qe2 Kxf7 Qxe4 Kg8 Qxa8 Kh7 Qe4 d5 Qxd5 Be7 d3 Rf8 Bb3 Nf4 Qe4+ Ng6 Be3 Bh4 Rf1 Bf6 Bd4 Bh4 f4 Bd8 f5 Ne7 f6+ Ng6 fxg7 Rxf1+ Kxf1 h5 g8=Q+ Kh6 Qexg6#
Rated Blitz game;1/2-1/2;2012.12.31;23:04:28;1878;1940;B21;Sicilian Defense: McDonnell Attack;300+0;Draw;e4 c5 f4 d5 exd5 Qxd5 Nc3 Qd8 Bc4 Bf5 d3 a6 g4 Bd7 a4 e6 Bd2 Bc6 Nf3 Bxf3 Qxf3 Qh4+ Qg3 Qxg3+ hxg3 Nc6 O-O-O O-O-O f5 Ne5 fxe6 Nxc4 dxc4 fxe6 Rde1 Bd6 Bf4 Bxf4+ gxf4 Nh6 g5 Nf5 Rxe6 Rd4 Rf1 Rxc4 Re5 g6 Kd2 Rd8+ Kc1 Rd7 Nd5 Rd6 Ne7+ Nxe7 Rxe7 Rd7 Rxd7 Kxd7 b3 Re4 Kb2 Ke6 Kc3 Kf5 Rh1 Re7 Rf1 Re4 Rh1 Rxf4 Rxh7 Kxg5 Rxb7 Rf6 Rc7 Kf4 Rxc5 g5 b4 g4 Rc4+ Kf3 Rc5 Rg6 Rf5+ Kg2 b5 axb5 axb5 g3 Kb4 Kh1 Rd5 g2 Rd1+ g1=Q Rxg1+ Kxg1 c4 Kf2 c5 Ke3 b6 Kd4 b7 Rg1 Kb5 Rb1+ Kc6 Rb4 Kc7 Kxc5 b8=Q Rxb8 Kxb8
Rated Classical game;0-1;2012.12.31;23:15:00;1742;1775;A01;Nimzo-Larsen Attack: Modern Variation #2;540+0;Checkmate;b3 e5 Bb2 e4 d3 Nf6 Nh3 d5 dxe4 Nxe4 Nf4 Qh4 g3 Bc5 f3 Bf2#
Rated Classical game;1-0;2012.12.31;23:10:00;1824;1811;C02;French Defense: Advance Variation #2;360+6;Resignation;e4 e6 d4 d5 e5 c5 c3 Ne7 f4 cxd4 cxd4 Nf5 Nf3 Nc6 Bb5 Bd7 O-O Qb6 Bxc6 Bxc6 Nc3 Be7 a3 O-O b4 Rac8 Bb2 Bb5 Rf2 Bc4 Na4 Qc6 Nc5 b6 Nd3 a5 Bc3 a4 g4 Bxd3 Qxd3 Qxc3 Qxc3 Rxc3 gxf5 exf5 Kg2 Rfc8 Raa2 h5 h4 Rc8c6 Ng5 f6 exf6 Bxf6 Nf3 g6 Ne5 Bxe5 fxe5 Kg7 Rfe2 Rd3 e6 Rxd4 e7 Rg4+ Kf2 Re4 Rxe4 dxe4 e8=Q Rc3
Rated Classical game;1-0;2012.12.31;23:09:26;1653;1395;C00;French Defense: Normal Variation;1200+0;Time forfeit;e4 e6 d4 b6 d5 Bb4+ c3 Bc5 b4 Bd6 Nf3 exd5 e5 Qe7 Qxd5 Bxe5 Nxe5 c6 Qxf7+ Qxf7 Nxf7 Kxf7 Bc4+ Ke8 O-O d5 Re1+ Kd8 Bg5+ Kc7 Bb3 Nd7 c4 Ngf6 Bf4+ Kb7 cxd5 Nxd5 Bxd5 cxd5 Nc3 Nf6 a4 Bd7 a5 b5 a6+ Kc6 Be5 Rae8 f4 Re6 Rec1 Kb6 Bd4+ Kc7 Nxb5+ Kb8 Nc7 Rc6 Rxc6 Bxc6 Bxf6 Kxc7 Bxg7 Rg8 Be5+ Kb6 Bd4+ Kb5 Ra5+ Kxb4 Ra1 Kc4 Bxa7 d4 Rc1+ Kd5 Rd1 Ke4 Rxd4+ Ke3 Bc5 Rxg2+ Kf1 Rf2+ Ke1 Rxh2 Kd1 Bf3+ Kc1 Rh4 Ra4+ Kd3 Ra3+ Ke2 Re3+ Kf2 Re5+ Kg3 Rg5+ Kh3 Bd6 Rg4 Rh5+ Kg3 f5+ Kf2 Rxh7 Rc4+ Kb2 Ke2 a7 Kd2 Rh2+ Kd1 Rf2 Ba8 f6 Rc6 Be7 Rb6+ Kc3 Ke1 Rf5 Ke2 f7
Rated Classical game;1-0;2012.12.31;23:10:44;1897;1673;B01;Scandinavian Defense: Mieses-Kotroc Variation;480+2;Time forfeit;e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Bg4 d4 Qe6 Be3 Nc6 Bxg4 Qg6 Bf3 Nb4 Be4 Qa6 Nb5 Qxb5 c3 Nd5 Bd3 Qxb2 Ne2 Nxc3 Nxc3 Qxc3+ Ke2 Qb2+ Kf3 O-O-O Qa4 e6 Qxa7 Qa3 Qxa3 Bxa3 Rab1 Nf6 Rb3 Bd6 Rhb1 b6 Bb5 Nd5 a4 Kb7 a5 c6 Bc4 b5 Bxd5 exd5 Bf4 Be7 Re3 Rhe8 Rbe1
Rated Blitz game;1-0;2012.12.31;23:16:04;1492;1451;C24;Bishop's Opening: Berlin Defense;420+0;Checkmate;e4 e5 Bc4 Nf6 d3 Bc5 Bg5 Bxf2+ Kxf2 Nxe4+ dxe4 Qxg5 Nf3 Qf6 Qd5 Nc6 Rf1 O-O Kg1 Nb4 Qxe5 Qxe5 Nxe5 Nxc2 Bxf7+ Kh8 Bc4 Rxf1+ Bxf1 Nxa1 Nc3 Nc2 Nd5 c6 Ne7 d6 Nf7#
